	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
1	L1		 2.308601	 133.1524				
2	L3		 2.661410	 65.46227				
3	L4		 2.668167	 67.98872				
4	L5		 2.368421	 53.13010				
5	L6		 2.306801	 55.22217				
6	L7		 2.430189	 107.6501				
7	L8		 2.546520	 108.0605				
8	L9		 2.555208	 122.3807				
9	L10		 2.522475	 23.35556				
10	L11		 2.515878	 105.7808				
11	L12		 2.613093	 108.7999				
12	L13		 2.550868	 111.8014				
13	L14		 2.867817	 47.23117				
14	L15		 2.493760	 44.14490				
15	L16		 2.566565	 105.4612				
16	L17		 2.435313	 173.7966				
17	L18		 2.680079	 109.5024				
18	L19		 2.542165	 117.0956				
19	L20		 2.531792	 110.6955				
20	L21		 2.456266	 45				
21	L22		 2.507054	 39.03551				
22	L23		 2.613623	 115.0169				
23	L24		 2.542165	 117.0956				
24	L25		 2.531792	 46.68468				
25	L26		 2.639987	 23.49857				
26	L27		 2.382996	 96.34019				
27	L28		 2.410159	 121.6075				
28	L29		 2.024777	 117.8973				
29	L30		 2.507054	 39.03551				
30	L31		 2.570879	 67.10945				
31	L32		 2.566026	 154.4861				
32	L33		 2.350222	 55.95406				
33	L34		 2.389381	 82.40536				
34	L35		 2.502077	 67.75098				
35	L36		 2.709376	 65.92450				
36	L37		 2.644704	 95.71059				
37	L38		 2.426196	 102.5288				
38	L39		 2.563325	 109.1790				
39	L40		 2.777532	 80.18070				
40	L41		 2.574647	 49.14462				
41	L42		 2.421625	 47.64255				
42	L43		 2.879385	 120.7841				
43	L45		 2.606193	 136.6366				
44	L46		 2.260096	 117.7585				
45	L47		 2.522475	 113.3556				
46	L48		 2.566026	 115.5139				
47	L49		 2.730762	 117.5528				
48	L50		 2.684211	 118.0725				
49	L51		 2.542165	 117.0956				
50	L52		 2.331288	 118.3008				
51	L53		 2.410159	 121.6075				
52	L54		 2.424483	 117.1213				
53	L55		 2.321166	 122.9694				
54	L56		 2.233589	 124.4390				
55	L57		 2.474244	 119.2914				
56	L58		 2.591805	 102.9074				
57	L59		 2.579484	 88.83086				
58	L60		 2.430189	 94.96974				
59	L61		 2.405557	 100.0806				
60	L62		 2.570879	 292.8906				
61	L63		 2.665050	 80.90972				
62	L64		 2.423340	 55.61966				
63	L65		 2.396905	 70.76933				
64	L66		 2.697080	 95.59934				
65	L67		 2.518629	 63.97041				
66	L68		 2.368421	 53.13010				
67	L69		 2.466956	 33.69007				
68	L70		 2.455138	 149.0362				
69	L71		 2.663491	 127.7757				
70	L72		 2.729748	 213.9965				
71	L73		 2.540530	 129.9575				
72	L74		 2.457393	 170.1342				
73	L75		 2.204252	 123.3106				
74	L76		 2.426196	 319.3987				
75	L77		 2.509263	 189.6599				
76	L78		 2.359046	 218.6598				
77	L79		 2.755503	 208.5231				
78	L80		 2.705284	 127.0928				
79	L81		 2.581095	 140.7928				
80	L82		 2.540530	 103.1726				
81	L83		 2.829406	 80.36246				
82	L84		 2.578947	 90				
83	L85		 2.591805	 102.9074				
84	L86		 2.821072	 36.65611				
85	L87		 2.267438	 111.8014				
86	L88		 2.741393	 176.6981				
87	L89		 2.442128	 127.1169				
88	L90		 2.805811	 23.19859				
89	L91		 2.308601	 114.2277				
90	L92		 2.583776	 123.3664				
91	L93		 2.426196	 176.2686				
92	L94		 2.426196	 114.3411				
93	L95		 2.668167	 292.0113				
94	L96		 2.599808	 111.3706				
95	L97		 2.496535	 108.4349				
96	L98		 2.363738	 101.5601				
97	L99		 2.190384	 54.78241				
98	L100		 2.442128	 127.1169				
99	L101		 2.48430	 126.3844				
100	L102		 2.405557	 100.0806				
101	L103		 2.729240	 140.4774				
102	L104		 2.716524	 144.4623				
103	L105		 2.719072	 312.6467				
104	L106		 2.518629	 26.02959				
105	L107		 2.881309	 279.4623				
106	L108		 2.455138	 300.9638				
107	L109		 2.522475	 203.3556				
108	L110		 2.530698	 286.9275				
109	L111		 2.364324	 286.8214				
110	L112		 2.642608	 314.1931				
111	L113		 2.572495	 210.7627				
112	L114		 2.535073	 318.3665				
113	L115		 2.265605	 2.663001				
114	L116		 2.369006	 268.7270				
115	L117		 2.47760	 282.2648				
116	L118		 2.448359	 25.46335				
117	L119		 2.3110	 300.0686				
118	L120		 2.448924	 118.2174				
119	L121		 2.426196	 3.731397				
120	L122		 2.466395	 320.1944				
121	L123		 2.3110	 300.0686				
122	L124		 2.655158	 320.6307				
123	L125		 2.493760	 7.275005				
124	L126		 2.48430	 36.38435				
125	L127		 2.568184	 134.1697				
126	L128		 2.515878	 285.7808				
127	L129		 2.234209	 46.90915				
128	L130		 2.539985	 214.0193				
129	L131		 2.688850	 319.7636				
130	L132		 2.421625	 312.3575				
131	L133		 2.639987	 184.5739				
132	L134		 2.587526	 274.6669				
133	L135		 2.438155	 302.6609				
134	L136		 2.668167	 247.9887				
135	L137		 2.415325	 281.3099				
136	L138		 2.236068	 206.5651				
137	L139		 2.430189	 265.0303				
138	L140		 2.773539	 236.6115				
139	L141		 2.441561	 277.4314				
140	L142		 2.539985	 185.9469				
141	L143		 2.723144	 131.0818				
142	L144		 2.570340	 222.5104				
143	L145		 2.457393	 226.7357				
144	L146		 2.650459	 353.1572				
145	L147		 2.378342	 24.86370				
146	L148		 2.482627	 237.9946				
147	L149		 2.673871	 306.1932				
148	L150		 2.493760	 44.14490				
149	L151		 2.706307	 283.4957				
150	L152		 2.716524	 305.5377				
